,Comuna,Latitud,Longitud,Alias,Precipitacion,Grupo
0,Buin,-33.7427629,-70.748651,Buin Centro,25.0,RM
1,Calera de Tango,-33.63026,-70.75037,Almendros,28.0,RM
2,Calera de Tango,-33.64388888888889,-70.83833333333332,Condominio SCdL,27.0,RM
3,Cerrillos,-33.5071009,-70.708747,Rocío,27.0,RM
4,Cerro Navia,-33.417376,-70.75786,Harry,29.0,RM
5,Cerro Navia,-33.41946,-70.72695,Nanocerro,28.0,RM
6,Colina,-33.2539999,-70.6294618,Piedraroja,47.0,RM
7,Colina,-33.235,-70.673333,Chicureo,27.0,RM
8,Colina,-33.307339,-70.660102,Chamisero,22.0,RM
9,Conchalí,-33.38773,-70.65886,Conchalí 1,25.0,RM
10,Conchalí,-33.375257,-70.680028,Astrocolón,23.0,RM
11,Curacaví,-33.393795,-71.03482,Tenca - WS2K,31.2,RM
12,Curacaví,-33.374,-71.1806,El Mauco La Yaca,19.0,RM
13,El bosque,-33.5714,-70.6605,Reyes 4to G,26.0,RM
14,El Monte,-33.68048,-70.998302,Coipocho,27.1,RM
15,Estación Central,-33.4710478,-70.7198398,Jorge VI,46.0,RM
16,Isla de Maipo,-33.744106,-70.863889,Achepé,25.0,V-R
17,Isla de Maipo,-33.704432,-70.89853,Granortu,23.5,RM
18,La Cisterna ,-33.52583,-70.667812,San Simón,18.0,RM
19,La Cruz,-32.8508333,-71.223333,Campanario La Cruz,38.0,RM
20,La Florida,-33.528457,-70.552391,Yakana,41.0,RM
21,La Florida,-33.5387504,-70.58643,MDM,35.2,RM
22,La Florida,-33.566723,-70.592142,Guacolda,32.0,RM
23,La Florida,-33.53039167,-70.56961667,Casa_Sary,30.5,RM
24,La Florida,-33.5202,-70.5665,Colegio Santa Irene,30.0,RM
25,La Reina,-33.43648,-70.54493,asilvam,50.4,RM
26,La Reina,-33.434636,-70.522047,Petricor,48.9,RM
27,La Reina,-33.4325123,-70.5797009,thequeen,45.0,RM
28,La Reina,-33.44535,-70.54923,PBurchard,42.5,RM
29,La Reina,-33.459283,-70.56545,FG6189,42.0,RM
30,La Reina,-33.445699,-70.553097,OpaHouse,41.0,RM
31,La Reina,-33.45683,-70.52308,Luciernaga,40.0,RM
32,La Reina,-33.45751,-70.56021,Yeye,38.0,RM
33,La Reina,-33.45498,-70.56382,Nazarit,37.4,RM
34,La Reina,-33.435005,-70.529998,HelsbyMate,36.0,RM
35,Lampa,-33.32,-70.75,Valle Grande,23.0,RM
36,Las Condes,-33.41068,-70.51288,Boldo,56.0,RM
37,Las Condes,-33.40635,-70.51399,FECHITA,54.0,RM
38,Las Condes,-33.37354,-70.5041,La Posada MK,52.0,RM
39,Las Condes,-33.405679,-70.55212,pluv_lcbv,52.0,RM
40,Las Condes,-33.41069,-70.51004,Marley,50.0,RM
41,Las Condes,-33.379558,-70.519431,Huerta_JLG,48.0,RM
42,Las Condes,-33.423889,-70.557545,Dreal,41.0,RM
43,Las Condes,-33.4249222,-70.5821583,Cristobaldlm,41.0,RM
44,Las Condes,-33.41812,-70.5747,MPM-1,37.0,RM
45,Lo Barnechea,-33.356717,-70.479844,Arrayán - Estero,77.0,RM
46,Lo Barnechea,-33.342583,-70.47025,POMcI,65.0,RM
47,Lo Barnechea,-33.3497222222222,-70.5405555555556,Santa Blanca,61.4,RM
48,Lo Barnechea,-33.363563,-70.496013,San Enrique,57.0,RM
49,Lo Barnechea,-33.330798,-70.5139946,LoBarnechea17,56.5,RM
50,Lo Barnechea,-33.359998,-70.476821,Las tres hermanas,53.5,RM
51,Lo Barnechea,-33.346539,-70.527303,Lilo,53.0,RM
52,Lo Espejo,-33.51708,-70.6801,ClaraEstrella,30.0,RM
53,Lo Espejo,-33.514491,-70.694431,Loespuno,30.0,RM
54,Macul,33.4875,70.5981,GFA,33.0,RM
55,Maipu,-33.512062,-70.769442,Maipu_Templo,29.0,RM
56,Maipú,-33.52718,-70.77573,Pepe Carter,24.0,RM
57,Navidad,-34.0597,-71.8955,Pumatumán,40.0,RM
58,Navidad,-34.0069,-71.8225,RAB REM,32.0,RM
59,Ñuñoa,-33.445253,-70.585837,Parque Pucará,49.0,RM
60,Ñuñoa,-33.4399552,-70.5770178,TOMACHO,39.5,VI-R
61,Ñuñoa,-33.4503,-70.5821,Gorostiaga,38.0,VI-R
62,Ñuñoa,-33.4624675,-70.6271803,Tomás,37.0,RM
63,Ñuñoa,-33.451095,-70.582853,AciSol,36.0,RM
64,Ñuñoa,-33.4609,-70.594277,Johow,36.0,RM
65,Ñuñoa,-33.445999,-70.588186,Pedro_Torres,33.0,RM
66,Ñuñoa,-33.450585,-70.591376,Brownpoint,31.0,RM
67,Ñuñoa,-33.456043,-70.598147,Morgana,29.6,RM
68,Olmue,-32.99055555555556,-71.18027777777779,Colibrí,34.0,RM
69,Padre Hurtado,-33.571829,-70.826461,fcoelectro,29.0,RM
70,Paico,-33.655,-71.0408,El Paico,30.0,V-R
71,Pedro Aguirre Cerda,-33.4917,-70.675,Abranquil,27.0,RM
72,Peñaflor,-33.6044444,-70.8980556,BATA,24.0,RM
73,Peñafor,-33.6301566,-70.8862869,Berlín,28.0,RM
74,Peñalolén,-33.464228,-70.510042,Parque Cantalao,51.0,RM
75,Peñalolén,-33.5005704,-70.535267,Pirquera,45.0,RM
76,Peñalolén,-33.488425,-70.5301222,Com Eco Peñalolén,43.0,RM
77,Peñalolén,-33.487568,-70.574487,Ciudadana,41.0,RM
78,Peñalolén,-33.4784758,-70.5516726,peñamex,38.5,RM
79,Peñalolén,-33.50167,-70.586438,Terra-Aqua,35.0,RM
80,Pirque,-33.626029,-70.536201,ApoloPirque,39.0,RM
81,Pirque,-33.6493055555556,-70.6056388888889,IsaPir,28.0,RM
82,Providencia,-33.43551,-70.586153,El Belloto,37.0,RM
83,Providencia,-33.4373,-70.6278,GeneralSalvo,33.0,RM
84,Providencia,-33.436461,-70.620565,Ministro,32.0,RM
85,Providencia,-33.4392,-70.6203,Providencia,28.5,RM
86,Pudahuel,-33.457778,-70.756944,Auquinco,31.0,RM
87,Pudahuel,-33.447149,-70.741206,CAPA - Pudahuel.,28.5,RM
88,Pudahuel,-33.454455,-70.85234,MIGIOMI,22.2,RM
89,Pudahuel,-33.457359,-70.819123,Geol327,21.5,RM
90,Puente Alto,-33.56369,-70.57959,Scarleth,45.0,RM
91,Puente Alto,-33.601355,-70.515257,Vizcachas,39.0,RM
92,Puente Alto,-33.5821241,-70.5858865,CasaPabla,34.8,RM
93,Puente Alto,-33.59039,-70.5734443,César3,34.0,RM
94,Puente Alto,-33.57219,-70.5778,Nemesio Vicuña,31.0,RM
95,Quilicura,-33.360389,-70.743528,Azul,24.0,RM
96,Quilicura,-33.35935,-70.72336,Mawün,22.5,RM
97,Quilicura,-33.3498598,-70.73458217,Lázaro,21.0,RM
98,Renca,-33.40343,-70.70815,Djoko,29.0,RM
99,San Bernardo,-33.612675,-70.72276,Hueñimalal,29.0,RM
100,San José de Maipo,-33.762359,-70.279106,El Ingenio,76.0,RM
101,San José de Maipo,-33.822472,-70.224139,Puente El Cristo,76.0,RM
102,San José de Maipo,-33.578198,-70.405527,Alicura,60.0,RM
103,San José de Maipo,-33.825362,-70.17099,El Volcán,60.0,RM
104,San José de Maipo,-33.634484,-70.35255,San José,60.0,RM
105,San José de Maipo,-33.595436,-70.377091,PyG,58.0,RM
106,San José de Maipo,-33.58811,-70.397258,AMMA1,57.0,RM
107,San José de Maipo,-33.587699,-70.470749,Las Vertientes 1,57.0,RM
108,San José de Maipo,-33.576059,-70.43879,RodrigoF,56.0,RM
109,San José de Maipo,-33.57627777777778,-70.44894444444445,AWS El Canelo El Bajo,55.6,RM
110,San José de Maipo,-33.5783328,-70.451299,El Canelo,55.0,RM
111,San José de Maipo,-33.621401,-70.350204,El Quillay,52.5,RM
112,San José de Maipo,-33.821315,-70.06249,Cordillera,50.0,RM
113,San José de Maipo,-33.63731,-70.31333,Santuario de Lagunillas,48.0,RM
114,San José de Maipo,-33.571349,-70.456669,Ngen-ko,45.0,RM
115,San Miguel,-33.49849,-70.654909,Isita 4G,42.0,RM
116,San Miguel,-33.51119,-70.66195,Fajardo,28.4,RM
117,San Miguel,-33.4973,-70.6554,La Marina,27.0,RM
118,San Ramon,-33.5444,-70.6399,Hurtado 4G,25.7,RM
119,San Ramón,-33.528298,-70.6411026,Pep9,30.0,RM
120,Santiago,-33.45827,-70.69544,Coronel Souper E,23.0,RM
121,Santiago Centro,-33.46936111111111,-70.65347222222223,Melissandra,27.0,RM
122,Talagante,-33.641922,-70.86369,Kinton85,27.0,RM
123,Talagante,-33.6616396,-70.9290078,CasaCentro,24.0,RM
124,Til Til,-33.003119,-70.999335,Los Quillayes,56.0,RM
125,Til Til,-33.002995,-70.997043,Profe Luis,49.0,RM
126,Til Til,-33.0236889,-70.9867861,La Poesía,46.0,RM
127,Til Til,-33.0447222222222,-70.9913889,Caleu Los Arrayanes,40.0,RM
128,Til Til,-33.04158333333333,-70.98044444444444,Las Cortaderas,38.0,RM
129,Til Til,-33.07089722222223,-70.98711388888889,Asiento Viejo,37.0,RM
130,Til Til,-33.163019444444444,-70.78773333333334,Alto el Manzano,23.0,RM
131,Til Til,-33.135,-70.7972222,Huertos Familiares,21.7,RM
132,Til Til,-33.07609444444445,-70.77221666666667,Huechún,21.0,RM
133,Til Til,-33.07638333333334,-70.94580555555557,Los Quilos ,21.0,RM
134,Til Til,-33.11244444444445,-70.79876944444445,Santa Matilde,21.0,RM
135,Til Til,-32.94729722222222,-70.75080833333334,Rincón de los Valle,19.0,RM
136,Til Til,-33.07725555555556,-70.9251,TilTil Centro,18.8,RM
137,Til Til,-33.118275,-70.84519444444445,Punta Peuco,18.5,RM
138,Til Til,-33.095111111111116,-70.92550833333334,El Sauce,17.5,RM
139,Til Til,-32.96924166666667,-70.83778333333333,Montenegro,17.0,RM
140,Til Til,-32.99071111111111,-70.89506111111112,Rungue,17.0,RM
141,Til Til,-32.93295833333333,-70.81376388888889,La Cumbre,16.0,RM
142,Til Til,-33.1512806,-70.8892361,La Plazuela,15.0,RM
143,Til Til,-33.171967,-70.8901472,Estación Polpaico,13.0,RM
144,Vitacura,-33.38146,-70.55663,Auri-001,54.0,RM
145,Vitacura,-33.3890092,-70.5560782,Villa El Dorado,49.0,RM
146,Vitacura,-33.38783,-70.553479,Escultor,49.0,RM
147,Vitacura,-33.3868,-70.5737,Buenaventura,48.5,RM
148,Vitacura,-33.395182,-70.588737,Vitacumbia,41.0,RM
149,Vitacura,-33.383186,-70.579557,Borderío,36.1,RM
150,Algarrobo,-33.439,-71.624,Algarrobo (DGA),15.0,EMA
151,Alhue,-34.065,71.2538888,Alhué,43.0,EMA
152,Alhue,-34.029166,-70.994999,El Asiento INIA,33.0,EMA
153,Alhue,-34.02,-71.139,Alhue (WG),29.3,EMA
154,Alhue,-34.07,-71.261,Alhue Auilamuta (DGA),24.0,EMA
155,Alhué,-34.078,-71.195,Barrera Loncha (DGA),43.8,EMA
156,Alhué,-34.035,-71.094,Villa Alhue (DGA),41.6,EMA
157,Buin,-33.733,-70.722,Miguel Hinojosa (WG),39.9,EMA
158,Buin,-33.711666,-70.711944,Los Tilos (INIA),37.4,EMA
159,Buin,-33.707222,-70.707222,Buin FDF,33.2,EMA
160,Buin,-33.7986592,-70.8413394,Valdivia de Paine,27.0,EMA
161,Buin,-33.789,-70.798,El Amanecer (WG),24.2,EMA
162,Calera de Tango,-33.624999,-70.799444,Calera de Tango FDF,28.8,EMA
163,CasaBlanca,-33.291,-71.289,Tapihue (DGA),32.9,EMA
164,Casablanca,-33.323,-71.411,Casablanca (DGA),16.5,EMA
165,Catemu,-32.758,-70.943,Catemu (DGA),17.3,EMA
166,Colina,-33.202,-70.588,Río Colina en Peldehue (DGA),41.4,EMA
167,Colina,-33.29,-70.69,chicureo.com (WG),36.9,EMA
168,Colina,-33.284,-70.651,Chicureo (DGA),30.4,EMA
169,Colina,-33.318,-70.657,Casa Chamisero (WG),30.0,EMA
170,Colina,-33.275,-70.66,PippaWeather Chicureo (WG),29.7,EMA
171,Colina,-33.2488,-70.72322,Chacabuco - INIA,26.8,EMA
172,Colina,-33.208,-70.73,FTG (WG),22.7,EMA
173,Colina,-33.218888,-70.715833,Colina FDF,20.8,EMA
174,Colina,-33.162222,-70.643055,Colina (DMC),18.9,EMA
175,Colina,-33.1471111,-70.6602222,Peldehue Agromet,18.4,EMA
176,Colina,-33.268054,-70.732221,Lo Pinto (DMC),16.7,EMA
177,Colina,-33.211,-70.729,Alvaro Inostroza (WG),7.6,EMA
178,Conchali,-33.38471,-70.68896,Cometi (WG),21.1,EMA
179,Curacavi,-33.407,-71.056,Miraflores (WG),26.2,EMA
180,Curacavi,-33.411111,-71.167777,Curacavi (DMC),16.9,EMA
181,Curacaví,-33.51,-70.714,Pozo Cerrillos (DGA),30.4,EMA
182,Curacaví,-33.506,-70.995,Bomberos Pataguilla (WG),27.9,EMA
183,Curacaví,-33.438888,-71.025277,Panguiles (DGA),26.5,EMA
184,Curacaví,-33.429661,-71.029152,La Aurora,24.6,EMA
185,Curacaví,-33.43861,-71.025554,Curacaví FDF,21.8,EMA
186,Curacaví,-33.392,-71.121,Estadio Cuyuncavi (DGA),20.8,EMA
187,Curacaví,-33.413,-71.163,Hangar AQI (WG),20.6,EMA
188,Curavaví,-33.364,-71.144,Trinos del Pequén (WG),23.2,EMA
189,El Monte,-33.665,-70.972,Pinto Piga (WG),24.0,EMA
190,El Monte,-33.706388,-71.008055,El Paico (DMC),23.3,EMA
191,El Monte,-33.691944,-71.101111,El Monte FDF,22.6,EMA
192,Hihuelas,-32.853,-71.121,Estero Rabuco (DGA),26.7,EMA
193,Huechuraba,-33.381,-70.608,Cerro Polanco - Pirámide (WG),40.6,EMA
194,Isla de Maipo,-33.725554,-71.042499,Sn Antonio Naltahua INIA,23.9,EMA
195,Isla de Maipo,-33.763888,-70.886666,Isla de Maipo FDF,9.2,EMA
196,La Cruz,-32.814,-71.25,Lo Rojas (DGA),28.0,EMA
197,La Florida,-33.544999,-70.548333,AA La Florida (DMC),45.8,EMA
198,La Florida,-33.516,-70.522,Alto Macul (Lucale) (WG),19.0,EMA
199,La Granja,-33.572777,-70.619721,La Platina (INIA),25.5,EMA
200,La Reina,-33.45528,-70.54222,Aer. Tobalaba (DMC),74.6,EMA
201,La Reina,-33.433,-70.583,Metro Bilbao (WG),51.1,EMA
202,La Reina,-33.44567,-70.56323,Villa Virginia (WG),42.2,EMA
203,Lampa,-33.304,-70.858,Lampa (WG),35.1,EMA
204,Lampa,-33.187,-70.798,WestieWeather (WG),23.8,EMA
205,Lampa,-33.34368,-70.8185,Chorrillos,16.9,EMA
206,Las Condes,-33.394999,-70.536666,Calán (DGA),49.9,EMA
207,Las Condes,-33.42317,-70.5932,El Golf (WG),47.8,EMA
208,Las Condes,-33.41427,-70.57116,EcoWitt 3000 (WG),43.8,EMA
209,Las Condes,-33.41612,-70.58792,EcoWitt Burgos (WG),32.6,EMA
210,Limache,-33.098,-71.215,Lliu Lliu Embalse (DGA),19.4,EMA
211,Limache,-32.958,-71.345,Los Aromos (DGA),18.9,EMA
212,Llay Llay,-32.88139,-70.91306,Llay Llay - Las Peñas (DMC),20.6,EMA
213,Llay Llay,-32.866,-70.848,Las Chilcas (DGA),14.7,EMA
214,Lo Barnechea,-33.36727,-70.50012,Mickey Lo Barnechea (WG),73.4,EMA
215,Lo Barnechea,-33.33,-70.513,Valle La Dehesa/Basel (WG),69.9,EMA
216,Lo Barnechea,-33.332,-70.549,LosMonjes2022 (WG),67.8,EMA
217,Lo Barnechea,-33.338,-70.469,Parque El Arrayán (DGA),61.6,EMA
218,Lo Barnechea,-33.389,-70.373,Pozo La Junta (DGA),59.2,EMA
219,Lo Barnechea,-33.370554,-70.451111,Mapocho - Almendros (DGA),56.3,EMA
220,Lo Barnechea,-33.37361,-70.396388,Rio Molina a/j Sn. Fco. (DGA),51.8,EMA
221,Lo Barnechea,-33.331,-70.554,Vistand (WG),51.4,EMA
222,Lo Barnechea,-33.344444,-70.363889,Estero Yerba Loca a/j San Fco. (DGA),40.3,EMA
223,Lo Barnechea,-33.3086111,-70.357222,Río San Francisco a/j estero Yerba Loca (DGA),33.9,EMA
224,Lo Barnechea,-33.371,-70.465,WS-5000 Sergio (WG),32.9,EMA
225,Los Andes,-32.811,-70.642,Los Andes (DGA),22.0,EMA
226,Los Andes,-32.86,-70.472,Vilcuya (DGA),21.6,EMA
227,Maipu,-33.55,-70.764,4 Poniente - Barrio Oeste (WG),25.6,EMA
228,Maipú,-33.497221,-70.845555,Rinconada INIA,24.7,EMA
229,Maipú,-33.567,-70.773,Casaquinta (WG),23.2,EMA
230,María Pinto,-33.481,-71.281,Ibacache Alto (DGA),29.2,EMA
231,María Pinto,-33.508555,-71.084029,El Parrón,18.6,EMA
232,Melipilla,-33.84,-71.367,Pozo Melipilla Ulmén (DGA),41.8,EMA
233,Melipilla,-33.8908333,-71.233611,Los Guindos (DGA),39.5,EMA
234,Melipilla,-33.76,-71.158,Carmen de las Rosas (DGA),36.6,EMA
235,Melipilla,-33.767499,-71.530554,Río Maipo en Cabimbao (DGA),34.8,EMA
236,Melipilla,-33.784,-71.108,Pozo Horcón de Piedra (DGA),31.3,EMA
237,Melipilla,-33.92,-71.515,Pozo Escuela El Prado (DGA),28.1,EMA
238,Melipilla,-33.723,-71.178,Agrc Las Tres Marías (WG),27.4,EMA
239,Melipilla,-33.661388,-71.336944,Estero Puangue (DGA),26.8,EMA
240,Melipilla,-33.680277,-71.1997,Melipilla Esc. Tec. (DGA),18.7,EMA
241,Ñuñoa,-33.46529,-70.5857,WSX1001 (WG),51.4,EMA
242,Olmué,-33.051,-71.115,Quebrada Alvarado (DGA),30.8,EMA
243,Padre Hurtado,-33.555,-70.823,Fundo Marruecos (DGA),34.1,EMA
244,Padre Hurtado,-33.562443,-70.875305,El Villorio,18.8,EMA
245,Paine,-33.79,-70.635,Lidea Chile (WG),41.8,EMA
246,Paine,-33.861944,-70.639166,Huelquén FDF,38.2,EMA
247,Paine,-33.835,-70.761,De huerta a la raiz (WG),33.5,EMA
248,Paine,-33.821,-70.73,Santa Cecilia (WG),28.5,EMA
249,Paine,-33.811111,-70.88361,Angostura en Valdivia de Paine (DGA),16.1,EMA
250,Paine,-33.8858333,-70.8775,Laguna de Aculeo (DGA),13.9,EMA
251,Peñalolén,-33.50024,-70.52728,Las Pircas (WG),51.1,EMA
252,Peñalolén,-33.497,-70.516,Antupirén (DGA),50.3,EMA
253,Peñalolén,-33.438,-70.497,Quebrada Ramón 1 (DGA),41.4,EMA
254,Peñalolén,-33.500833,-70.514166,Quebrada Macul (DGA),39.0,EMA
255,Pirque,-33.741,-70.577,Valle Principal (WG),93.0,EMA
256,Pirque,-33.634,-70.551,Pirque El Huingan (WG),45.5,EMA
257,Pirque,-33.673888,-70.586666,Pirque (DGA),33.0,EMA
258,Polpaico,-33.169,-70.891,Pozo Cancha Polpaico (DGA),17.1,EMA
259,Pudahuel,-33.458055,-70.94861,Lo Prado (DMC),26.2,EMA
260,Pudahuel,-33.442221,-70.746666,San Pablo (DMC),26.1,EMA
261,Pudahuel,-33.466,-70.866,Rocket Valley  (WG),19.9,EMA
262,Pudahuel,-33.37833,-70.79639,Aer. Pudahuel (DMC),19.3,EMA
263,Puente Alto,-33.557,-70.534,geoemendez (WG),47.8,EMA
264,Putaendo,-32.568,-70.699,El Tártaro (DGA),14.9,EMA
265,Quilicura,-33.38106,-70.7449,Teknipac (WG),22.4,EMA
266,Quillota,-32.896,-71.206,Quillota (DGA),20.4,EMA
267,Quilpué,-33.168,-71.147,Colliguay (DGA),27.3,EMA
268,Renca,-33.394,-70.749,El Perejil (WG),25.6,EMA
269,San Antonio,-33.575,-71.625,Punta Panul (DGA),27.2,EMA
270,San Bernardo,-33.662777,-70.765833,Sn Bernardo Lo Herrera FDF,20.0,EMA
271,San Felipe,-32.755,-70.707,San Felipe (DGA),20.2,EMA
272,San Felipe,-32.75528,-70.70694,San Felipe Esc. Agric. (DMC),15.7,EMA
273,San José de Maipo,-33.774,-70.277,El Ingenio (WG),79.2,EMA
274,San José de Maipo,-33.77,-70.274,Rio Maipo en el Ingenio (DGA),77.7,EMA
275,San José de Maipo,-33.852,-70.198,Río Maipo en las Melosas (DGA),72.6,EMA
276,San José de Maipo,-33.5902778,-70.4852778,La Obra EMOS (DGA),66.8,EMA
277,San José de Maipo,-33.587,-70.392,Pozo Estero El Manzano (DGA),66.7,EMA
278,San José de Maipo,-33.809722,-70.210277,Rio Volcan  en Queltehues (DGA),57.4,EMA
279,San José de Maipo,-33.531111,-70.2619444,Maitenes (DGA),54.7,EMA
280,San José de Maipo,-33.769,-70.277,Domo (WG),54.1,EMA
281,San José de Maipo,-33.597499,-70.379443,Maipo Manzano (DGA),53.6,EMA
282,San José de Maipo,-33.817,-70.224,Río Maipo en Queltehues (DGA),52.6,EMA
283,San José de Maipo,-33.636388,-70.356944,San José de Maipo Retén (DGA),50.4,EMA
284,San José de Maipo,-33.7820843,-70.237239,San Gabriel (DGA),47.0,EMA
285,San José de Maipo,-33.615277,-70.350555,Guayacan (DMC),46.1,EMA
286,San José de Maipo,-33.495,-70.138,Meteorológica rio Colorado (DGA),34.8,EMA
287,San Miguel,-33.507,-70.651,Gran Av / Departamental (WG),36.6,EMA
288,San Pedro,-33.913,-71.364,Pozo Rinconada Longovilo (DGA),43.5,EMA
289,Santa María,-32.687,-70.596,Jahuel (DGA),16.5,EMA
290,Santiago,-33.4561,-70.66101,Met (WG),31.1,EMA
291,Santiago,-33.44861,-70.64389,Terraza Central (DGA),26.7,EMA
292,Santiago,-33.445,-70.67778,Q. Normal (DMC),26.6,EMA
293,Santiago,-33.46003,-70.67704,Dimeri (WG),23.4,EMA
294,Santo Domingo,-33.655,-71.6142,Aer. Santo Domingo (DMC),33.0,EMA
295,Talagante,-33.7,-70.96,Parcela Talagante (WG),29.5,EMA
296,Talagante,-33.670277,-70.849444,Talagante (DMC),23.8,EMA
297,Talagante,-33.668744,-70.912195,Santa Amelia,23.8,EMA
298,Talagante,-33.6958333,-70.9236111,El Vergel (DGA),20.6,EMA
299,Til Til,-33.01,-70.95,meb2557 (WG),37.3,EMA
300,Til Til,-33.04944,-71.00139,La Dormida (DMC),34.0,EMA
301,Til Til,-33.18,-70.777,Club de Aeromodelos (WG),28.7,EMA
302,Til Til,-33.076,-70.944,Cuesta la Dormida(DGA),21.1,EMA
303,Til Til,-33.073,-70.768,Huechún Andina (DGA),20.4,EMA
304,Til Til,-33.086,-70.802,Huechún Embalse (DGA),19.1,EMA
305,Til Til,-33.02,-70.9080556,Rungue Embalse (DGA),17.7,EMA
306,Til Til,-33.121388,-70.834166,Til Til FDF,17.6,EMA
307,Til Til,-32.948,-70.807,Fundo Las Bateas (DGA),17.3,EMA
308,Til Til,-32.948,-70.753,Rincón de los Valles (DGA),15.6,EMA
309,Til-Til,-33.005556,-70.993611,Caleu (DGA),11.6,EMA
310,Valparaiso,-33.041,-71.605,Valparaiso (DGA),32.5,EMA
311,Valparaiso,-33.145,-71.556,Lago Peñuela (DGA),18.7,EMA
312,Viña del Mar,-33.051,-71.584,Rodelillo (DGA),38.2,EMA
313,Viña del Mar,-33.0367,-71.5342,Rodelillo (DMC),38.1,EMA
314,Viña del Mar,-33.0492,-71.5017,Jardín Botánico (DMC),20.5,EMA
315,Viña del Mar,-32.94944,-71.47444,Torquemada (DMC),16.7,EMA
316,Vitacura,-33.376,-70.54582,EMA RGVB (WG),105.3,EMA
317,Vitacura,-33.38339,-70.54038,Las Hualtatas/La Aurora (WG),71.3,EMA
318,Vitacura,-33.382,-70.55,Club de Golf (WG),66.0,EMA
319,Vitacura,-33.38705,-70.58004,Rober Weather (WG),58.1,EMA
320,Vitacura,-33.39106,-70.55635,Casa Atlanta (WG),56.8,EMA
321,Vitacura,-33.38613,-70.57398,Recife Clima (WG),56.6,EMA
322,Zapallar,-32.624,-71.407,Laguna Zapallar (DGA),33.1,EMA
323,,-34.03,-71.12,Pozo La Puntilla (DGA),51.0,EMA
324,,-33.447,-71.455,Lagunillas (DGA),29.5,EMA
325,,-33.002,-71.547,Las Salinas (DGA),27.2,EMA
326,,-33.323,-71.311,Pozo Los Perales (DGA),26.4,EMA
327,,-33.156,-71.312,Las Piedras (DGA),22.1,EMA
328,,-32.537,-71.135,Las Pataguas (DGA),21.2,EMA
